CAREHOME_id	Box_id	caseload_month	wmd.caseload_yr -8	caseload_size	Days_Since_Last_Reading	observ_month	wmd.observ_yr -8	BP	Pulse	O2	Temp	NEWS2(0-4)	NEWS2(5-6)	NEWS2(7+)	NEWS2
XM92X1	BOX127	JUNE 	2013	6	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNEKD1	BOX128	JUNE 	2013	13	28	JUNE 	2013	0	20	20	23	0	0	0	0
XNG861	BOX129	JUNE 	2013	5	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2PF1	BOX130	JUNE 	2013	7	0	JUNE 	2013	0	0	0	0	0	0	0	0
XLWF71	BOX131	JUNE 	2013	6	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM73R1	BOX132	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM73R1	BOX133	JUNE 	2013	12	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM73R1	BOX134	JUNE 	2013	7	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2PL1	BOX135	JUNE 	2013	19	0	JUNE 	2013	32	267	235	349	0	0	0	0
XNH831	BOX136	JULY 	2013	6	94	JULY 	2013	0	0	0	0	0	0	0	0
XL2G21	BOX137	JULY 	2013	8	138	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX138	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX139	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX140	JULY 	2013	3	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX141	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX142	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX143	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX144	JULY 	2013	6	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX145	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX146	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX147	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX148	JULY 	2013	8	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX149	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX150	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX151	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX152	JULY 	2013	5	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX153	JULY 	2013	3	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX154	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX155	JULY 	2013	5	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2FE1	BOX156	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2FE1	BOX157	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AF1	BOX158	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2AG1	BOX159	JULY 	2013	38	16	JULY 	2013	10	19	9	8	6	1	2	9
XL2AK1	BOX160	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XNGJY1	BOX161	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2CA1	BOX162	JULY 	2013	18	25	JULY 	2013	11	22	11	11	0	0	0	0
XL2CJ1	BOX163	JULY 	2013	21	6	JULY 	2013	10	19	9	9	5	3	0	8
